mol_id,status,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV,error,split
MOL_70614,success,-8.93493862,-8.56907469,0.36586393,,train
MOL_30280,success,-9.05798396,-8.43729639,0.62068757,,train
MOL_50670,success,-9.23422255,-8.2214158,1.01280675,,train
MOL_28840,success,-9.36510945,-8.112389,1.25272045,,train
MOL_88315,success,-9.24124155,-8.21392428,1.02731727,,train
MOL_34644,success,-9.40086158,-8.11353256,1.28732902,,train
MOL_48944,success,-9.44561226,-7.96862099,1.47699127,,train
MOL_13215,success,-9.36844216,-8.11346259,1.25497958,,train
MOL_39650,success,-8.76381104,-8.72722383,0.03658721,,train
MOL_51973,success,-9.02212129,-8.46852399,0.5535973,,train
MOL_44537,success,-9.19975139,-8.33373106,0.86602032,,train
MOL_65317,success,-8.91462209,-8.5734534,0.34116869,,train
MOL_60598,success,-9.28104929,-8.20950211,1.07154718,,train
MOL_95047,success,-8.87340516,-8.69174721,0.18165795,,train
MOL_97530,success,-9.20910697,-8.16354506,1.04556192,,train
MOL_66996,success,-8.97854602,-8.56287234,0.41567368,,train
MOL_01028,success,-9.54902642,-7.87745199,1.67157443,,train
MOL_30832,success,-9.26773203,-8.22882247,1.03890956,,train
MOL_04953,success,-9.17469291,-8.41754398,0.75714893,,train
MOL_82948,success,-9.30656355,-8.20788434,1.09867921,,train
MOL_83194,success,-9.34811061,-8.13039983,1.21771077,,train
MOL_99241,success,-9.2290662,-8.24094711,0.98811909,,train
MOL_53744,success,-9.22554651,-8.31877199,0.90677452,,train
MOL_17395,success,-9.15536176,-8.29155651,0.86380525,,train
MOL_10440,success,-9.35921961,-8.06329174,1.29592788,,train
MOL_36902,success,-8.96750136,-8.53870427,0.42879709,,train
MOL_43687,success,-9.18328534,-8.31691516,0.86637019,,train
MOL_36774,success,-8.91469975,-8.62908615,0.2856136,,train
MOL_03146,success,-9.43870591,-7.95778994,1.48091597,,train
MOL_00857,success,-9.49219182,-7.95933723,1.53285459,,train
MOL_93599,success,-9.32874803,-8.0725937,1.25615432,,train
MOL_15879,success,-9.14786922,-8.39515505,0.75271417,,train
MOL_20164,success,-9.3431056,-8.13322123,1.20988437,,train
MOL_85952,success,-9.17835133,-8.36753302,0.81081831,,train
MOL_19075,success,-9.01510401,-8.5513783,0.46372571,,train
