mol_id,molecule_filename,predicted_gap,homo_ev,lumo_ev,actual_gap_ev,status,prediction_error_ev
MOL_95214,gqd_95214.mol,0.71275479,-9.50018849,-7.93184206,1.56834643,SUCCESS,0.8555916404336461
MOL_04214,gqd_04214.mol,0.7128809550016414,-8.83865747,-8.68422727,0.1544302,SUCCESS,-0.558450755
MOL_45184,gqd_45184.mol,0.7140275467344701,-8.93675023,-8.57437213,0.36237811,SUCCESS,-0.351649437
MOL_20989,gqd_20989.mol,0.7140928362341649,-9.18413635,-8.37964582,0.80449053,SUCCESS,0.090397694
MOL_90673,gqd_90673.mol,0.7141137507091693,-9.14006139,-8.34476077,0.79530062,SUCCESS,0.081186869
MOL_28826,gqd_28826.mol,0.714163449,-9.3422809,-8.08402666,1.25825424,SUCCESS,0.5440907913303601
MOL_12752,gqd_12752.mol,0.7142699620682598,-9.03994294,-8.38095249,0.65899045,SUCCESS,-0.055279512
MOL_51934,gqd_51934.mol,0.7144060043394161,-9.13507428,-8.34464683,0.79042745,SUCCESS,0.076021446
MOL_80547,gqd_80547.mol,0.7144074564161179,-8.98968437,-8.51683576,0.47284862,SUCCESS,-0.241558836
MOL_91581,gqd_91581.mol,0.7146168171566084,-8.93548885,-8.53255916,0.40292969,SUCCESS,-0.311687127
MOL_96044,gqd_96044.mol,0.7146689988143721,-9.43038935,-8.04917486,1.38121449,SUCCESS,0.666545491
MOL_81884,gqd_81884.mol,0.714742173,-9.34385954,-8.15621372,1.18764581,SUCCESS,0.472903637
MOL_48557,gqd_48557.mol,0.706996718,-9.01958108,-8.46770367,0.5518774,SUCCESS,-0.155119318
MOL_79939,gqd_79939.mol,0.7071125466759207,-9.33007799,-8.14283346,1.18724453,SUCCESS,0.48013198332407936
MOL_12886,gqd_12886.mol,0.7071367520737495,-9.09065597,-8.41249477,0.67816121,SUCCESS,-0.028975542
MOL_40041,gqd_40041.mol,0.7071619581438645,-9.41777203,-7.95783036,1.45994167,SUCCESS,0.7527797118561356
MOL_30155,gqd_30155.mol,0.707189688,-9.34701075,-8.10690833,1.24010242,SUCCESS,0.532912732
MOL_72427,gqd_72427.mol,0.7075944916446353,-8.95099692,-8.64080574,0.31019118,SUCCESS,-0.397403312
MOL_61735,gqd_61735.mol,0.7076200551965711,-9.18417034,-8.3076818,0.87648853,SUCCESS,0.16886847480342893
MOL_71764,gqd_71764.mol,0.7076914114227755,-9.03852224,-8.47306936,0.56545288,SUCCESS,-0.142238531
MOL_43217,gqd_43217.mol,0.7077733836453054,-8.87729241,-8.64475742,0.23253499,SUCCESS,-0.475238394
MOL_29560,gqd_29560.mol,0.7078435963900772,-9.51507842,-7.98288631,1.53219211,SUCCESS,0.8243485136099228
